designacao;cliente;descricao;regional;tipo_servico;banda_contratada;banda_ativada;os_ativacao;data_os;tipo_os;data_ativacao;contrato;aditivo;estacaoA;ufA;estacaoB;ufB;valor;previsao;status;ultimo_evento
DFAC000044;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL - SAUS_QD5;Governo;AC;60;0;0738/2016/DC/4600;2016-08-22;Contrato;2016-01-01;;;;DF;;;0.00;2016-11-25;instalação;pend. cliente
DFL3000019;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL - SAUS_QD6;Governo;L3;104;0;0710/2016/DC/4600;2016-08-22;Contrato;2016-01-01;;;;DF;;;10438.66;2016-11-11;instalação;pend. implantação
ESL3000003;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL;Governo;L3;10;0;0717/2016/DC/4600;2016-08-22;Contrato;2016-01-01;;;ESSEA0PP002;ES;;;0.00;2016-11-25;instalação;pend. implantação
GOL3000003;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL;Governo;L3;10;0;0718/2016/DC/4600;2016-08-22;Contrato;2016-01-01;;;GOGNA0TR001;GO;;;4506.62;2016-12-01;instalação;pend. implantação
MAL3000005;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL;Governo;L3;10;0;0719/2016/DC/4600;2016-08-22;Contrato;2016-01-01;;;;MA;;;0.00;2016-11-24;instalação;pend. implantação
MGL3000013;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL;Governo;L3;10;0;0720/2016/DC/4600;2016-08-22;Contrato;2016-01-01;;;;MG;;;0.00;2016-11-16;instalação;pend. cliente
MSL3000003;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL;Governo;L3;10;0;0721/2016/DC/4600;2016-08-22;Contrato;2016-01-01;;;;MS;;;0.00;2016-11-29;instalação;pend. implantação
MTL3000003;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL;Governo;L3;10;0;0722/2016/DC/4600;2016-08-22;Contrato;2016-01-01;;;;MT;;;4506.62;2016-11-08;instalação;pend. implantação
PAL3000002;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL;Governo;L3;10;0;0723/2016/DC/4600;2016-08-22;Contrato;2016-01-01;;;;PA;;;4506.62;2017-01-09;instalação;pend. implantação
PBL3000002;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL;Governo;L3;10;0;0724/2016/DC/4600;2016-08-22;Oportunidade;2016-01-01;;;;PB;;;4506.62;2016-11-07;instalação;pend. implantação
PEL3000003;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL;Governo;L3;10;0;075/2015/DC/4600;2015-08-11;Oportunidade;2016-01-01;;;;PE;;;4506.62;2016-11-07;instalação;pend. implantação
PIL3000001;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL;Governo;L3;10;0;0726/2016/DC/4600;2016-08-22;Oportunidade;2016-01-01;;;;PI;;;4506.62;2016-01-01;instalação;pend. implantação
PRL3000006;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL;Governo;L3;10;0;0727/2016/DC/4600;2016-08-22;Contrato;2016-01-01;;;;PR;;;0.00;2016-11-29;instalação;pend. implantação
RJL3000007;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL - CENTRO;Governo;L3;10;0;0728/2016/DC/4600;2016-08-22;Contrato;2016-01-01;;;;RJ;;;4506.62;2016-11-11;instalação;pend. cliente
RJL3000019;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL - ILHA DO GOVERNADOR;Governo;L3;10;0;0729/2016/DC/4600;2016-08-22;Contrato;2016-01-01;;;;RJ;;;0.00;2016-10-31;instalação;pend. cliente
RNL3000001;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL;Governo;L3;10;0;0730/2016/DC/4600;2016-08-22;Contrato;2016-01-01;;;;RN;;;4506.62;2016-11-08;instalação;pend. implantação
ROL3000002;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL;Governo;L3;10;0;0731/2016/DC/4600;2016-08-22;Contrato;2016-01-01;;;;RO;;;4506.62;2016-11-08;instalação;pend. implantação
RRL3000004;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL;Governo;L3;10;0;0732/2016/DC/4600;2016-08-22;Contrato;2016-01-01;;;;RR;;;0.00;2016-11-30;instalação;pend. implantação
RSL3000005;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL;Governo;L3;10;0;0733/2016/DC/4600;2016-08-22;Contrato;2016-01-01;;;;RS;;;0.00;2016-11-28;instalação;pend. implantação
SCL3000002;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL;Governo;L3;10;0;0734/2016/DC/4600;2016-08-22;Contrato;2016-01-01;;;;SC;;;4506.62;2016-11-14;instalação;pend. implantação
SEL3000001;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL;Governo;L3;10;0;0735/2016/DC/4600;2016-08-22;Oportunidade;2016-01-01;;;;SE;;;4506.62;2016-11-08;instalação;pend. implantação
SPL3000012;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL;Governo;L3;10;0;0736/2016/DC/4600;2016-08-22;Contrato;2016-01-01;;;;SP;;;0.00;2016-11-29;instalação;pend. implantação
TOL3000008;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL;Governo;L3;10;0;0737/2016/DC/4600;2016-08-22;Contrato;2016-01-01;;;;TO;;;0.00;2016-11-30;instalação;pend. implantação
DFAC000052;AGÊNCIA NACIONAL DE TRANSPORTES TERRESTRES;ANTT;Governo;AC;200;0;012/2016/DC/4600;2016-02-01;Oportunidade;2016-01-01;;;;DF;;;0.00;2016-05-17;instalação;pend. implantação
RJL2000015;AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS;ANP - CENTRO-URCA;Governo;L2;1000;0;01860/2015/DC/4600;2015-08-31;Contrato;2016-01-01;4.015/15-ANP-004.281;;RJRJO0PM012;RJ;RJRJO0PM002;RJ;40030.00;2015-12-21;instalação;pend. implantação
AMP2000001;AKTO TECNOLOGIA EIRELI - EPP;AKTO TECNOLOGIA;Belém;P2;1000;0;0248/2016/DC/4600;2016-07-21;Contrato;2016-01-01;4740/056/2015;;;AM;;;11000.00;2016-08-01;instalação;em ativação
RSP2ES0015;ALESSIO & LONGHI LTDA;ALESSIO & LONGHI;Porto Alegre;P2;200;0;0752/2016/DC/4600;2016-08-31;Contrato;2016-01-01;4770/055/2016;;;RS;;;4132.00;2016-01-01;instalação;pend. cliente
SPBL000013;ALIANCA TELECOM INTERNET E INFORMATICA LTDA - ME;ALIANCA TELECOM;São Paulo;BL;100;0;0762/2016/DC/4600;2016-09-02;Contrato;2016-01-01;4750/002/2016;;SPTTE0TR001;SP;;;4000.00;2016-01-01;instalação;pend. implantação
PABL000012;ALMEIDA E GOMES LTDA - ME;ALMEIDA E GOMES;Belém;BL;500;500;01570/2015/DC/4740;2015-03-09;Contrato;2015-05-12;4740/033/2015;;PASID0PP002;PA;;;31500.00;2016-01-01;operação;upgrade
AMBL000002;ALPHA TELECOMUNICAÇOES LTDA - ME;ALPHA TELECOM;Belém;BL;200;200;01697/2015/DC/4740;2015-05-20;Contrato;2015-09-01;4740/038/2013;;AMMNS0PM007;AM;AMMNS0PM007;AM;21400.00;2015-06-11;operação;trânsito
MGBL000013;ALPINET INFORMÁTICA LTDA - ME;ALPINET;Rio de Janeiro;BL;50;50;0239/2013/DC/4600;2013-08-26;Contrato;2013-09-02;4500/012/2013;;MGALS0TR002;MG;MGALS0TR002;MG;3840.50;2016-01-01;operação;upgrade
RSBL000014;ANDRES REFATTE CHEGUHEN EIRELI - ME;ANDRES REFATTE;Porto Alegre;BL;300;300;0142/2016/DC/4600;2016-02-24;Contrato;2016-03-30;4770/010/2016;;RSGTI0PP001;RS;;;8000.00;2016-01-01;operação;upgrade
TOBL000009;APANET COMÉRCIO E SERVIÇO DE INTERNET  LTDA;APANET;;BL;100;0;0140/2012/DC/4600;2012-09-18;Contrato;2013-03-20;;;TOARN0PP001;TO;TOARN0PP001;TO;0.00;2016-01-01;desativado;desativado
MABL000018;ARANET COMUNICAÇÃO LTDA - EPP;ARANET-IMPERATRIZ;Brasília;BL;250;0;0797/2013/DC/4600;2013-11-09;Contrato;2014-01-29;4500/056/2013;;MAITZ0PP001;MA;MAITZ0PC012;MA;16575.00;2016-01-01;bloqueado;bloqueado
TOBL000002;ARANET COMUNICAÇÃO LTDA - EPP;ARANET-ARAGUAINA;Brasília;BL;1000;1000;017/2011/DC/4600;2011-11-28;Contrato;2012-07-02;4730/015/2014;;TOARN0TR001;TO;TOARN0TR001;TO;55000.00;2016-01-01;operação;trânsito
SPAC000006;Arion Serviços de Telecomunicações LTDA.;ARION SERVICES;;AC;500;0;046/2015/EC/4600;2015-07-23;Oportunidade;2015-08-18;;;;SP;;;150000.00;2015-08-01;desativado;desativado
MABL000006;ARRAIS FALCÃO E SARAIVA CONSULTORIA E PRESTAÇÃO DE SERVIÇOS EM INTERNET LTDA - ME;ARRAIS FALCÃO - ESTREITO;Fortaleza;BL;150;150;01573/2015/DC/4600;2015-03-11;Contrato;2015-04-17;4730/006/2015;;MAGJU0PP001;MA;;;14634.00;2016-01-01;operação;alteração para AS
MABL000017;ARRAIS FALCÃO E SARAIVA CONSULTORIA E PRESTAÇÃO DE SERVIÇOS EM INTERNET LTDA - ME;ARRAIS FALCÃO - PORTO FRANCO;Fortaleza;BL;350;350;0767/2013/DC/4600/3500;2013-12-24;Contrato;2014-02-19;4500/0051/2013;;MAPFN0PP001;MA;MAPFN0PP001;MA;26250.00;2016-01-01;operação;mudança de configuração
RJAC000014;ARSENAL DE GUERRA DO RIO - AGR;AGR;Rio de Janeiro;AC;10;0;0538/2016/DC/4600;2016-06-16;Contrato;2016-01-01;4760/007/2016 TELEBR;;RJRJO0PM012;RJ;;;4497.75;2016-11-14;instalação;pend. cliente
PEAC000004;ASSOCIAÇÃO INSTITUTO DE TECNOLOGIA DE PERNAMBUCO;ITEP;Governo;AC;30;30;01267/2014/DC/4600;2014-08-28;Contrato;2014-09-11;ACORDO -Nº 07/2012;;PERCE0PM004;PE;PERCE0PM004;PE;0.00;2016-01-01;operação;mudança de configuração
MGP2000006;AVANÇAR ENGENHARIA DE COMPUTAÇÃO EIRELI EPP;AVANÇAR ENGENHARIA - SÃO JOSÉ DA BARRA-BARUERI;;P2;100;0;0251/2016/DC/4600;2016-02-24;Contrato;2016-01-01;4760/012/2015;;MGSJBATR001;MG;SPBRE0PM002;SP;2700.00;2016-04-25;instalação;pend. cliente
MABL000037;AVNET COMUNICAÇÃO SEM FRONTEIRAS LTDA;AVNET COMUNICAÇÃO;;BL;100;0;01981/2015/DC/4600;2015-11-17;Contrato;2016-01-01;;;MAMIR0PP001;MA;;;8514.19;2015-12-07;cancelado;cancelado
MGBL000003;Axtelecom Telecomunicações Ltda;AX TELECOM;;BL;82;82;;2016-01-01;Contrato;2012-08-03;;;MGPCS0PP001;MG;MGPCS0PP001;MG;0.00;2016-01-01;desativado;desativado
AMBL000006;AXXESS TELECOMUNICAÇÕES LTDA - ME;AXXESS TELECOMUNICAÇÕES;Belém;BL;100;100;01277/2014/DC/4600;2014-09-17;Contrato;2015-08-03;4740/041/2014;;AMMNS0PM007;AM;AMMNS0PC014;AM;15000.00;2014-09-30;operação;trânsito
AMBL000008;AXXESS TELECOMUNICAÇÕES LTDA - ME;AXXESS TELECOMUNICAÇÕES;Belém;BL;1000;1000;0088/2016/DC/4600;2016-01-29;Contrato;2016-03-28;4740/003/2016;;AMMNS0PM007;AM;;;24000.00;2016-02-24;operação;desbloqueado
MABL000015;BALBINO SERVIÇO DE COMUNICAÇÃO MULTIMIDIA LTDA - ME;BALBINO SERVIÇO;;BL;100;0;0629/2013/DC/4600;2013-08-22;Contrato;2016-01-01;;;;MA;;;2440.00;2016-01-01;cancelado;cancelado
MABL000036;BALBINO SERVIÇO DE COMUNICAÇÃO MULTIMIDIA LTDA - ME;BALBINO;;BL;100;0;01941/2015/DC/4600;2015-10-26;Contrato;2016-01-01;;;;MA;MAITZ0TR001;MA;8000.00;2016-01-15;cancelado;cancelado
MABL000039;BALBINO SERVIÇO DE COMUNICAÇÃO MULTIMIDIA LTDA - ME;BALBINO;;BL;100;0;02034/2015/DC/4600;2015-12-15;Contrato;2016-01-01;;;MAITZ0PP001;MA;;;8000.00;2016-01-15;cancelado;cancelado
MABL000040;BALBINO SERVIÇO DE COMUNICAÇÃO MULTIMIDIA LTDA - ME;BALBINO;;BL;300;0;02035/2015/DC/4600;2015-12-15;Contrato;2016-01-01;;;MAITZ0TR001;MA;;;19500.00;2016-01-15;cancelado;cancelado
MABL000019;BALSAS NET LTDA - ME;BALSAS NET;Fortaleza;BL;200;200;0850/2014/DC/4600;2014-01-21;Contrato;2014-04-15;4730/002/2014;;MAPFN0PP001;MA;MAPFN0PP001;MA;16000.00;2016-01-01;operação;upgrade
DFAC000027;BANCO CENTRAL DO BRASIL;BACEN;Governo;AC;300;300;01458/2014/DC/4600;2015-01-05;Contrato;2015-04-12;4400/010/2014;;DFBSA0PP004;DF;DFBSA0TC036;DF;31493.58;2016-01-01;operação;mudança de configuração
DFAC000057;BANCO CENTRAL DO BRASIL;BACEN - TESTE;Governo;AC;10;0;0168/2016/DC/4600;2016-03-08;Contrato;2016-04-07;4400/010/2014;;;DF;;;0.00;2016-03-18;desativado;desativado
TOBL000018;BELEZA NETWORK PROVEDOR DE INTERNET LTDA - ME;BELEZA NETWORK PALMAS;Brasília;BL;100;0; 019/2011/DC/4600;2013-05-06;Contrato;2016-01-01;;;;TO;;;2587.60;2016-01-01;cancelado;cancelado
TOBL000029;BELEZA NETWORK PROVEDOR DE INTERNET LTDA - ME;BELEZA NETWORK TOCANTINÓPOLIS;Brasília;BL;100;50;018/2011/DC/4600;2014-02-17;Contrato;2014-03-28;4730/018/2014;;TOTNS0TR001;TO;MAPFN0PP001;MA;5000.00;2016-01-01;operação;upgrade
TOBL000034;BELEZA NETWORK PROVEDOR DE INTERNET LTDA - ME;BELEZA NETWORK - GUARAÍ;Brasília;BL;100;100;01250/2014/DC/4600;2014-08-12;Contrato;2014-11-11;4730/034/2014;1;TOGUI0PP001;TO;TOGUI0PP001;TO;8000.00;2016-01-01;operação;upgrade
TOBL000035;BELEZA NETWORK PROVEDOR DE INTERNET LTDA - ME;BELEZA NETWORK - GURUPI;Brasília;BL;100;0;01251/2014/DC/4600;2014-08-12;Contrato;2016-01-01;;;;TO;;;1500.00;2016-01-01;cancelado;cancelado
TOBL000051;BERTONE MARTINS ALCANFOR;BERTONE;Brasília;BL;100;100;0176/2016/DC/4600;2016-03-10;Contrato;2016-04-11;4730/009/2016;;TOPIT0PP001;TO;TOPMJ0TR001;TO;7999.56;2016-01-01;operação;alteração para AS
PIBL000004;BOMFIM & SOUSA LTDA;BOMFIM & SOUSA;Fortaleza;BL;600;600;0018/2016/DC/4600;2016-01-08;Contrato;2016-02-18;4710/024/2015;;PICRA0PP001;PI;;;14400.00;2016-01-01;operação;pend. implantação
MABL000022;BORBA PROVEDOR LTDA;BORBA PROVEDOR;Fortaleza;BL;520;520;00886/2014/DC/4600;2014-02-10;Contrato;2014-03-14;4710/026/2014;;MAPFN0PP001;MA;MAPFN0PP001;MA;36405.20;2016-01-01;operação;upgrade
MABL000030;BOSSNET PROVEDOR DE INTERNET LTDA;BOSSNET PROVEDOR DE INTERNET LTDA;Belém;BL;130;130;01781/2015/DC/4600;2015-07-10;Contrato;2015-10-13;4740/0039/2015;;MAITZ0PP001;MA;MAITZ0PP001;MA;12350.00;2016-01-01;operação;downgrade
ROBL000002;BRASIL DIGITAL SERVIÇOS DE INFORMÁTICA E COMÉRCIO LTDA - ME;BRASIL DIGITAL;Brasília;BL;500;500;0533/2013/DC/4600/3500;2013-08-09;Contrato;2013-10-19;4730/012/2015;;ROPVO0PM001;RO;ROPVO0PM001;RO;29806.00;2016-01-01;operação;upgrade
ROP2000001;BRASIL DIGITAL SERVIÇOS DE INFORMÁTICA E COMÉRCIO LTDA - ME;BRASIL DIGITAL - PORTO VELHO-BARUERI;Brasília;P2;100;100;0252/2016/DC/4600;2015-12-10;Contrato;2016-05-16;4730/044/2015;;ROPVO0PP001;RO;SPBRE0PM002;SP;4100.00;2016-01-01;operação;ativado
DFL2000036;BRASIL DIGITAL TELECOMUNICAÇÕES LTDA.;BRASIL DIGITAL - BRASÍLIA-CUIABÁ;Porto Alegre;L2;1000;1000;2022/2015/DC/4600;2015-12-01;Contrato;2015-12-07;4770/006/2015;;DFBSA0PP001;DF;MTCBA0PP001;MT;16180.00;2015-12-17;operação;ativado
DFL2000038;BRASIL DIGITAL TELECOMUNICAÇÕES LTDA.;BRASIL DIGITAL - BRASILIA-MINEIROS;Porto Alegre;L2;200;200;0366/2016/DC/4600;2016-05-06;Contrato;2016-06-03;4770/020/2016;;DFBSA0PP001;DF;GOMNI0PP001;GO;5162.00;2016-01-01;operação;ativado
RSL2ES0001;BRASIL DIGITAL TELECOMUNICAÇÕES LTDA.;BRASIL DIGITAL - SAN-SIA;Porto Alegre;L2;1000;0;0784/2016/DC/4600;2016-09-19;Contrato;2016-01-01;4770/056/2016;;RSSAN0PP001;RS;;;15000.00;2016-01-01;instalação;pend. implantação
RSL2ES0002;BRASIL DIGITAL TELECOMUNICAÇÕES LTDA.;BRASIL DIGITAL - SAZJ-ALG;Porto Alegre;L2;1000;0;0785/DC/4600/2016;2016-09-19;Contrato;2016-01-01;4770/057/2016;;;RS;RSALG0PP001;RS;15000.00;2016-01-01;instalação;pend. implantação
RSL2ES0003;BRASIL DIGITAL TELECOMUNICAÇÕES LTDA.;BRASIL DIGITAL - SAZJ-RRS;Porto Alegre;L2;1000;0;0786/2016/DC/4600;2016-09-19;Contrato;2016-01-01;4770/058/2016;;;RS;RSRRS0PP001;RS;15000.00;2016-01-01;instalação;pend. implantação
RSL2ES0004;BRASIL DIGITAL TELECOMUNICAÇÕES LTDA.;BRASIL DIGITAL - SAZJ-SVC;Porto Alegre;L2;1000;0;0787/2016/DC/4600;2016-09-19;Contrato;2016-01-01;4770/059/2016;;;RS;RSSVC0PP001;RS;15000.00;2016-01-01;instalação;pend. implantação
RSL2ES0005;BRASIL DIGITAL TELECOMUNICAÇÕES LTDA.;BRASIL DIGITAL - SAZJ-SIV;Porto Alegre;L2;1000;0;0788/2016/DC/4600;2016-09-19;Contrato;2016-01-01;4770/060/2016;;;RS;RSSIV0CX009;RS;15000.00;2016-01-01;instalação;pend. implantação
RSL2ES0006;BRASIL DIGITAL TELECOMUNICAÇÕES LTDA.;BRASIL DIGITAL - SAN-MACM;Porto Alegre;L2;1000;0;0789/DC/2016/4600;2016-09-19;Contrato;2016-01-01;4770/061/2016;;RSSAN0PP001;RS;RSMACMPP001;RS;15000.00;2016-01-01;instalação;pend. implantação
RSL2ES0007;BRASIL DIGITAL TELECOMUNICAÇÕES LTDA.;BRASIL DIGITAL - SAZJ-BGE;Porto Alegre;L2;1000;0;0790/2016/DC/4600;2016-09-19;Contrato;2016-01-01;4770/062/2016;;;RS;;;15000.00;2016-01-01;instalação;pend. implantação
RSL2ES0008;BRASIL DIGITAL TELECOMUNICAÇÕES LTDA.;BRASIL DIGITAL - SAN-UGN;Porto Alegre;L2;1000;0;0791/DC/2016/4600;2016-09-19;Contrato;2016-01-01;4770/063/2016;;RSSAN0PP001;RS;RSUGN0PP001;RS;15000.00;2016-01-01;recém criado;
PABL000031;BRASIL NORTE TELECOMUNICAÇÕES LTDA - EPP;BRASIL NORTE;Belém;BL;200;200;0222/2016/DC/4600;2016-03-29;Contrato;2016-05-17;4740/006/2016;;PAMBA0PP002;PA;;;15600.00;2016-01-01;operação;alteração para AS
CEBL000002;BRISANET PREST. SERV. DE INTERNET ;BRISANET RUSSAS;;BL;2000;1000;0318/2013/DC/4600;2013-06-04;Contrato;2013-08-07;;;CERUS0PP001;CE;CERUS0PP001;CE;0.00;2016-01-01;desativado;desativado
CEBL000004;BRISANET PREST. SERV. DE INTERNET ;BRISANET FORTALEZA;;BL;500;500;0783/2013/DC/4600;2013-11-28;Contrato;2013-12-11;;;CEFLA0PP001;CE;CEFLA0PP001;CE;0.00;2016-01-01;desativado;desativado
RSBL000019;BRSULNET TELECOM LTDA - EPP;BRSULNET;Porto Alegre;BL;1000;1000;0391/2016/DC/4600;2016-05-12;Contrato;2016-07-12;4770/031/2016;;RSCSL0TR001;RS;;;20000.00;2016-01-01;operação;ativado
TOBL000011;BRT COMÉRCIO DE PRODUTOS DE INFORMÁTICA LTDA - ME;BRT NETWORK;Brasília;BL;220;220;014/2011/DC/4600;2013-01-29;Contrato;2013-03-27;4500/064/2011;3;TOGUR0TR003;TO;TOGUR0TR004;TO;18700.00;2016-01-01;operação;em ativação
TOBL000049;BRT COMÉRCIO DE PRODUTOS DE INFORMÁTICA LTDA - ME;BRT NETWORK;Brasília;BL;60;0;01926/2015/DC/4600;2015-10-07;Contrato;2015-11-18;;;TOGUR0TR003;TO;;;7200.00;2015-11-09;desativado;desativado
BAP2000003;BYAL TELECOM LTDA. - EPP;BYAL TELECOM - EUNÁPOLIS-BARUERI;Rio de Janeiro;P2;3000;0;0253/2016/DC/4600;2016-03-02;Contrato;2016-01-01;4760/015/2015;;BAEUS0PP001;BA;SPBRE0PM002;SP;33000.00;2016-04-18;instalação;pend. cliente
MABL000031;C M C NOGUEIRA INFORMATICA LTDA;C M C NOGUEIRA;Fortaleza;BL;90;90;1804/2015/DC/4600;2015-07-28;Contrato;2015-08-14;4710/015/2015;;MAGJU0PP001;MA;;;7729.20;2015-08-28;operação;upgrade
